Timestamp,PPG,Pressure,Systolic
1762819494.029153,1782.0,183.43,0.0
1762819494.07935,1787.0,181.04,0.0
1762819494.178863,1791.0,178.82,0.0
1762819494.27901,1795.0,176.81,0.0
1762819494.379,1797.0,174.37,0.0
1762819494.478979,1805.0,171.17,0.0
1762819494.579,1801.0,167.77,0.0
1762819494.679009,1798.0,164.58,0.0
1762819494.778977,1802.0,161.14,0.0
1762819494.829275,1811.0,157.71,0.0
1762819494.928891,1817.0,154.4,0.0
1762819495.028766,1815.0,151.16,0.0
1762819495.1289759,1814.0,148.04,0.0
1762819495.228977,1822.0,144.96,0.0
1762819495.3279371,1819.0,141.96,0.0
1762819495.428968,1807.0,139.57,0.0
1762819495.4789162,1807.0,136.43,0.0
1762819495.578961,1809.0,133.5,0.0
1762819495.678942,1824.0,130.83,0.0
1762819495.778959,1827.0,128.82,0.0
1762819495.8789241,1833.0,127.29,0.0
1762819495.979226,1829.0,125.81,0.0
1762819496.0788999,1828.0,124.03,0.0
1762819496.128756,1835.0,122.8,0.0
1762819496.228895,1836.0,120.91,0.0
1762819496.32891,1832.0,118.72,0.0
1762819496.429491,1838.0,116.88,0.0
1762819496.528909,1841.0,114.78,0.0
1762819496.628876,1850.0,113.1,0.0
1762819496.728878,1845.0,111.93,0.0
1762819496.7788742,1834.0,110.48,0.0
1762819496.878656,1839.0,109.69,0.0
1762819496.9790971,1838.0,109.16,0.0
1762819497.078505,1886.0,107.58,0.0
1762819497.178837,1892.0,106.15,0.0
1762819497.278837,1901.0,104.92,0.0
1762819497.378623,1874.0,103.46,0.0
1762819497.4294121,1870.0,102.01,0.0
1762819497.528686,1868.0,100.6,0.0
1762819497.628853,1863.0,99.64,0.0
1762819497.7288032,1865.0,99.6,0.0
1762819497.829494,1913.0,98.33,0.0
1762819497.9282901,1986.0,97.04,97.04
1762819497.978791,2062.0,95.98,97.04
1762819498.029192,2102.0,95.02,97.04
1762819498.1289542,2134.0,93.93,97.04
1762819498.17897,2133.0,92.89,97.04
1762819498.279649,2116.0,91.9,97.04
1762819498.328786,2070.0,91.21,97.04
1762819498.37886,2030.0,91.98,97.04
1762819498.479002,2026.0,91.53,97.04
1762819498.529054,2155.0,90.75,97.04
1762819498.6293828,2313.0,89.72,97.04
1762819498.678754,2422.0,89.05,97.04
1762819498.7794912,2421.0,88.05,97.04
1762819498.829217,2396.0,87.02,97.04
